iter	Passed	Remaining
399	48279	72419
400	48379	72267
401	48440	72058
402	48530	71892
403	48623	71732
404	48720	71577
405	48817	71422
406	48884	71225
407	48947	71021
408	49047	70873
409	49150	70729
410	49236	70560
411	49313	70378
412	49410	70227
413	49507	70075
414	49598	69916
415	49690	69757
416	49789	69610
417	49879	69448
418	49974	69296
419	50064	69136
420	50160	68986
421	50255	68833
422	50360	68694
423	50450	68535
424	50537	68374
425	50638	68231
426	50738	68087
427	50828	67929
428	50919	67774
429	51008	67616
430	51097	67458
431	51179	67291
432	51276	67144
433	51379	67005
434	51475	66858
435	51574	66716
436	51678	66578
437	51777	66436
438	51870	66285
439	51961	66132
440	52055	65984
441	52151	65838
442	52242	65686
443	52330	65530
444	52382	65331
445	52475	65182
446	52573	65041
447	52666	64892
448	52761	64747
449	52858	64605
450	52969	64479
451	53063	64333
452	53156	64186
453	53246	64036
454	53337	63888
455	53440	63753
456	53546	63622
457	53664	63506
458	53767	63373
459	53864	63231
460	53959	63089
461	54052	62944
462	54151	62805
463	54247	62664
464	54346	62527
465	54447	62392
466	54543	62251
467	54639	62111
468	54741	61977
469	54829	61829
470	54933	61698
471	55022	61550
472	55122	61415
473	55213	61270
474	55312	61135
475	55409	60996
476	55504	60857
477	55607	60725
478	55707	60592
479	55811	60462
480	55906	60323
481	56019	60203
482	56136	60087
483	56236	59954
484	56344	59829
485	56442	59693
486	56526	59543
487	56610	59394
488	56697	59247
489	56752	59068
490	56836	58920
491	56923	58774
492	57009	58627
493	57091	58478
494	57174	58329
495	57252	58176
496	57335	58027
497	57418	57880
498	57503	57734
499	57565	57565
500	57652	57421
501	57710	57250
502	57794	57105
503	57874	56955
504	57959	56811
505	58043	56667
506	58121	56516
507	58204	56371
508	58287	56226
509	58370	56081
510	58406	55891
511	58490	55748
512	58577	55608
513	58656	55460
514	58747	55325
515	58828	55180
516	58912	55038
517	58991	54891
518	59046	54722
519	59129	54580
520	59206	54433
521	59316	54317
522	59445	54216
523	59579	54121
524	59712	54026
525	59838	53922
526	59961	53817
527	60115	53739
528	60273	53664
529	60409	53570
530	60560	53489
531	60698	53396
532	60828	53296
533	60959	53196
534	61100	53106
535	61278	53046
536	61463	52993
537	61684	52970
538	61858	52906
539	62012	52825
540	62181	52756
541	62351	52688
542	62520	52618
543	62738	52589
544	62934	52541
545	63093	52462
546	63238	52371
547	63380	52277
548	63526	52186
549	63670	52093
550	63805	51994
551	63885	51848
552	64041	51765
553	64188	51675
554	64330	51579
555	64461	51476
556	64599	51378
557	64755	51293
558	64893	51194
559	65035	51099
560	65168	50996
561	65301	50893
562	65463	50812
563	65658	50757
564	65840	50691
565	66001	50609
566	66155	50520
567	66305	50429
568	66439	50325
569	66594	50238
570	66750	50150
571	66894	50054
572	67024	49946
573	67172	49852
574	67320	49758
575	67464	49661
576	67612	49567
577	67762	49473
578	67943	49402
579	68023	49258
580	68234	49208
581	68445	49158
582	68652	49104
583	68828	49028
584	68976	48931
585	69145	48849
586	69338	48785
587	69431	48649
588	69613	48575
589	69795	48501
590	69987	48434
591	70142	48341
592	70298	48249
593	70458	48158
594	70633	48077
595	70815	48002
596	71001	47929
597	71183	47852
598	71366	47776
599	71554	47703
600	71737	47625
601	71910	47541
602	72012	47411
603	72165	47313
604	72337	47228
605	72455	47108
606	72634	47026
607	72809	46942
608	72966	46847
609	73110	46742
610	73240	46629
611	73400	46535
612	73588	46458
613	73762	46371
614	73941	46288
615	74145	46220
616	74309	46127
617	74472	46033
618	74619	45929
619	74748	45813
620	74880	45699
621	75032	45598
622	75179	45494
623	75330	45391
624	75476	45285
625	75626	45182
626	75781	45082
627	75952	44991
628	76120	44897
629	76286	44803
630	76447	44705
631	76624	44616
632	76788	44520
633	76941	44417
634	77102	44318
635	77254	44214
636	77413	44115
637	77537	43994
638	77700	43896
639	77856	43794
640	78009	43690
641	78169	43589
642	78331	43490
643	78497	43393
644	78603	43262
645	78733	43145
646	78854	43022
647	78993	42910
648	79123	42792
649	79255	42675
650	79380	42555
651	79541	42454
652	79702	42353
653	79831	42234
654	79954	42113
655	80110	42009
656	80277	41910
657	80434	41806
658	80606	41709
659	80747	41597
660	80869	41474
661	80992	41352
662	81138	41242
663	81293	41136
664	81456	41034
665	81617	40931
666	81753	40815
667	81872	40691
668	82015	40578
669	82097	40435
670	82250	40328
671	82418	40228
672	82585	40127
673	82651	39976
674	82821	39876
675	83009	39785
676	83173	39682
677	83351	39585
678	83526	39487
679	83701	39389
680	83860	39282
681	84007	39170
682	84184	39072
683	84371	38978
684	84550	38880
685	84688	38763
686	84820	38644
687	84945	38521
688	85071	38399
689	85239	38296
690	85426	38200
691	85562	38082
692	85689	37960
693	85812	37836
694	85898	37696
695	86007	37566
696	86132	37443
697	86260	37321
698	86384	37198
699	86506	37074
700	86636	36953
701	86779	36838
702	86926	36724
703	87083	36614
704	87233	36501
705	87376	36386
706	87511	36267
707	87647	36148
708	87764	36021
709	87884	35896
710	88005	35771
711	88169	35664
712	88282	35536
713	88426	35419
714	88593	35313
715	88779	35214
716	88939	35104
717	89097	34993
718	89235	34874
719	89386	34761
720	89526	34643
721	89643	34516
722	89737	34380
723	89866	34258
724	89992	34134
725	90104	34006
726	90213	33876
727	90335	33751
728	90445	33622
729	90542	33488
730	90686	33371
731	90819	33250
732	90953	33130
733	91027	32988
734	91137	32859
735	91259	32734
736	91366	32604
737	91476	32475
