iter	Logloss
0	0.6546015228
1	0.6185549306
2	0.5911846381
3	0.5569901664
4	0.5312852474
5	0.5077314699
6	0.4858706539
7	0.4669427393
8	0.4449065945
9	0.4268142342
10	0.4104467628
11	0.3969642443
12	0.3817522288
13	0.3722085417
14	0.3606384374
15	0.3543582528
16	0.3461373472
17	0.3391254267
18	0.330789939
19	0.3239460628
20	0.3183807188
21	0.3124537482
22	0.3048956225
23	0.2990300029
24	0.294542856
25	0.2904278811
26	0.2867177488
27	0.2841684273
28	0.2795811692
29	0.2761380377
30	0.27181603
31	0.2683436545
32	0.2661500239
33	0.2633408672
34	0.2604593118
35	0.2580868519
36	0.2544943337
37	0.25263883
38	0.2501790451
39	0.2483233165
40	0.2464896065
41	0.2438590893
42	0.241968057
43	0.2395331467
44	0.2371171169
45	0.2348673802
46	0.2331618815
47	0.2314842811
48	0.2304802994
49	0.2288987583
50	0.2282698496
51	0.2272918402
52	0.2249023513
53	0.2240538935
54	0.2219809876
55	0.2200740259
56	0.2189778257
57	0.2179029557
58	0.2169481229
59	0.2161093936
60	0.2143309048
61	0.213845843
62	0.212521057
63	0.211288345
64	0.2101439199
65	0.2091634666
66	0.2077804033
67	0.207289494
68	0.2063721448
69	0.2054474545
70	0.2043591938
71	0.2039832565
72	0.2028386328
73	0.2024495264
74	0.201786016
75	0.2013953008
76	0.2009113838
77	0.2005191118
78	0.2001546618
79	0.1995227824
80	0.1988940582
81	0.1985615855
82	0.1977564106
83	0.1972481519
84	0.1964112414
85	0.1954380066
86	0.1948447549
87	0.1944870915
88	0.1929158464
89	0.1922034224
90	0.191708472
91	0.1910672429
92	0.1903076646
93	0.1896991634
94	0.1893087558
95	0.1886860514
96	0.1882449754
97	0.1879627377
98	0.1875474143
99	0.1872462518
100	0.1865705844
101	0.1862832143
102	0.1859798076
103	0.1856272338
104	0.1854530595
105	0.1850355485
106	0.1844078683
107	0.1841513969
108	0.1840136164
109	0.1836569616
110	0.1832382682
111	0.1830222319
112	0.1826417295
113	0.1820781679
114	0.1813242858
115	0.1810179229
116	0.1808470654
117	0.1801629957
118	0.1797732179
119	0.1794067691
120	0.1791241914
121	0.1787431939
122	0.1783845404
123	0.1780906525
124	0.177313067
125	0.1769987863
126	0.1768548566
127	0.176515657
128	0.1759670318
129	0.1755602762
130	0.1749489261
131	0.1746408671
132	0.1740291905
133	0.1737824973
134	0.173580448
135	0.173391677
136	0.1731249736
137	0.1729504565
138	0.1727936515
139	0.1726392148
140	0.1724764252
141	0.1722409376
142	0.1719611347
143	0.1718329449
144	0.1716524133
145	0.1714415478
146	0.1708460857
147	0.1706326066
148	0.1703381061
149	0.1701047207
150	0.169838037
151	0.1696337455
152	0.1692073234
153	0.1687295496
154	0.1683826523
155	0.168211195
156	0.1678147474
157	0.1674495489
158	0.1673487618
159	0.1671842842
160	0.1670393234
161	0.1668900478
162	0.1666723295
163	0.1663058354
164	0.1660805949
165	0.1656429038
166	0.1655108101
167	0.1651796539
168	0.1650734865
169	0.1645783019
170	0.1644911805
171	0.1640952619
172	0.1639012166
173	0.1638576689
174	0.1636060444
175	0.1634803721
176	0.1632310125
177	0.1629874173
178	0.1629053191
179	0.1626756824
180	0.1625985432
181	0.1624895324
182	0.1624254894
183	0.1623763352
184	0.1622204943
185	0.1619588022
186	0.1610584694
187	0.1608887467
188	0.160587744
189	0.1604608944
190	0.1603290501
191	0.1600944347
192	0.1599850173
193	0.1596822194
194	0.1596329593
195	0.1594940187
196	0.1593300712
